Ê—“‘,«Ã „«⁄Ì,«œ» Ê Â‰—,”Ì«”Ì,«ﬁ ’«œ
0,1,0,0,0
0,0,0,6,2
0,0,0,2,0
1,1,1,0,0
0,1,0,0,0
1,13,1,3,9
3,0,1,0,0
0,0,0,0,1
0,0,1,0,0
4,1,0,0,1
251,415,61,198,242
0,0,1,0,0
0,0,1,0,0
0,0,0,0,1
1,0,0,0,0
0,0,2,0,0
1,36,6,25,29
0,0,0,1,0
0,1,0,3,0
0,1,0,0,0
0,1,0,0,0
0,11,5,172,0
22,74,10,35,18
6,52,2,21,28
1,3,2,2,0
0,0,0,1,0
0,0,5,0,0
0,1,1,0,0
0,1,0,0,0
0,7,0,68,0
0,1,0,2,0
1,0,0,0,0
5,2,7,4,1
0,0,0,0,1
0,4,2,1,0
0,1,0,0,0
1,0,0,0,0
0,1,0,0,0
0,0,0,0,1
0,2,3,0,4
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,42,3,0,0
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,1,0,0
0,0,1,0,0
0,0,0,1,0
0,0,1,0,0
0,2,0,6,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,1
0,3,0,0,0
0,0,0,1,0
1,0,0,0,0
47,32,9,35,17
0,2,0,2,0
0,1,0,0,0
0,1,0,2,0
36,160,11,50,55
0,0,0,1,3
2,0,0,0,0
0,1,0,0,0
0,1,0,0,0
3,9,2,9,0
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
0,1,0,0,0
0,1,0,0,0
4,0,0,0,0
28,22,23,19,15
0,1,0,0,0
0,0,1,0,0
0,1,0,0,0
0,0,1,0,0
0,1,0,0,0
11,4,0,1,0
9,1,0,0,0
0,10,6,0,0
0,1,0,1,1
0,0,0,4,0
1,0,1,0,0
0,5,2,1,0
0,2,0,2,0
0,0,0,0,1
0,0,0,1,0
0,6,0,27,7
1,0,0,0,0
0,1,0,1,0
0,0,0,0,1
0,0,1,0,0
0,1,0,4,0
1,0,0,0,0
5,31,5,7,1
0,2,0,0,0
3,9,7,0,15
0,1,0,1,0
1,12,9,7,21
0,2,0,0,0
0,6,8,4,0
11,0,0,0,0
1,0,0,0,0
0,2,0,22,0
